action step x1 y1 x2 y2
[step] 286 5 4 4 6
[step] 287 5 3 5 6
[step] 288 5 4 6 6
[step] 289 5 4 6 7
[step] 290 5 3 6 8
[step] 291 4 3 5 8
[step] 292 4 3 5 8
[step] 293 4 3 4 8
[step] 294 3 3 4 9
[step] 295 4 3 5 9
[step] 296 5 3 5 10
[step] 297 5 3 5 10
[step] 298 5 3 6 10
[step] 299 5 3 5 10
[step] 300 4 3 5 9
[step] 301 4 3 5 8
[step] 302 4 4 5 9
[step] 303 4 4 4 9
[step] 304 4 4 4 10
[step] 305 4 5 4 9
[step] 306 4 6 4 9
[step] 307 4 7 3 9
[step] 308 4 8 3 9
[step] 309 4 7 3 9
[step] 310 5 7 4 9
[step] 311 6 7 4 9
[step] 312 6 8 5 9
[step] 313 7 8 5 10
[step] 314 8 8 5 10
[step] 315 8 8 5 9
[step] 316 8 8 4 9
[step] 317 8 9 3 9
[step] 318 8 8 3 9
[step] 319 9 8 4 9
[step] 320 9 8 4 9
[step] 321 9 7 4 9
[step] 322 9 8 5 9
[step] 323 8 8 5 9
[step] 324 8 7 4 9
[step] 325 9 7 5 9
[step] 326 9 7 4 9
[step] 327 9 7 4 8
[step] 328 8 7 4 7
[step] 329 9 7 4 8
[step] 330 9 6 5 8
[step] 331 8 6 5 7
[step] 332 8 5 6 7
[step] 333 9 5 5 7
[step] 334 9 6 6 7
[step] 335 10 6 5 7
[step] 336 10 7 5 8
[step] 337 10 8 4 8
[step] 338 10 7 3 8
[step] 339 10 6 4 8
[step] 340 10 6 4 7
[step] 341 9 6 4 8
[step] 342 9 5 4 9
[step] 343 9 5 4 9
[step] 344 10 5 4 9
[step] 345 10 4 3 9
[step] 346 9 4 2 9
[step] 347 9 4 2 9
[step] 348 10 4 1 9
[step] 349 9 4 1 9
[step] 350 9 5 1 10
[step] 351 9 4 1 9
[step] 352 9 3 1 8
[step] 353 8 3 1 9
[step] 354 8 3 1 10
[step] 355 7 3 1 9
[step] 356 7 2 1 8
[step] 357 7 2 1 8
[step] 358 6 2 1 7
[step] 359 6 2 1 7
[step] 360 6 2 1 7
[step] 361 7 2 1 6
[step] 362 7 2 1 5
[step] 363 7 1 1 6
[step] 364 7 1 1 5
[step] 365 7 1 2 5
[step] 366 7 2 1 5
[step] 367 7 3 1 5
[step] 368 6 3 1 6
[step] 369 6 3 1 7
[step] 370 6 2 1 8
[step] 371 6 1 2 8
[step] 372 5 1 3 8
[step] 373 6 1 3 7
[step] 374 6 1 3 6
[step] 375 5 1 3 7
[step] 376 4 1 4 7
[step] 377 3 1 4 8
[step] 378 3 2 4 8
[step] 379 3 2 5 8
[step] 380 2 2 4 8
[step] 381 2 2 3 8
[step] 382 3 2 4 8
[step] 383 2 2 4 7
[step] 384 2 3 4 7
[step] 385 2 3 3 7
[step] 386 1 3 4 7
[step] 387 2 3 4 7
[step] 388 2 4 4 6
[step] 389 1 4 4 6
[step] 390 2 4 4 7
[step] 391 2 5 4 8
[step] 392 2 6 3 8
[step] 393 3 6 4 8
[step] 394 2 6 4 9
[step] 395 2 7 3 9
[step] 396 2 6 4 9
[step] 397 2 7 5 9
[step] 398 1 7 5 10
[step] 399 2 7 4 10
